trial_number,time,is_biased_choice,side_choice,RT,observed_reward,unobserved_reward,biased_reward,unbiased_reward,BLUE_RIGHT_LEFT_RED,RT_net,RT_zscore,subject_file,schedule
67,16:48.2,FALSE,RIGHT,2392,1,0,0,1,FALSE,892,-0.359410904,1611166318_76.csv,schedule_7
68,16:50.8,TRUE,LEFT,2656,1,0,1,0,FALSE,1156,-0.292945642,1611166318_76.csv,schedule_7
69,16:55.7,FALSE,RIGHT,3936,1,1,1,1,FALSE,2436,0.029310174,1611166318_76.csv,schedule_7
70,16:59.2,FALSE,RIGHT,4352,1,0,0,1,FALSE,2852,0.134043314,1611166318_76.csv,schedule_7
71,17:01.5,TRUE,LEFT,2344,1,0,1,0,FALSE,844,-0.371495497,1611166318_76.csv,schedule_7
72,17:04.1,TRUE,LEFT,2665,0,1,0,1,FALSE,1165,-0.290679781,1611166318_76.csv,schedule_7
73,17:06.3,FALSE,RIGHT,2127,0,0,0,0,FALSE,627,-0.426127929,1611166318_76.csv,schedule_7
74,17:09.2,FALSE,RIGHT,2952,0,1,1,0,FALSE,1452,-0.218423985,1611166318_76.csv,schedule_7
75,17:12.0,TRUE,LEFT,2752,0,1,0,1,FALSE,1252,-0.268776456,1611166318_76.csv,schedule_7
76,17:14.5,FALSE,RIGHT,2496,0,0,0,0,FALSE,996,-0.333227619,1611166318_76.csv,schedule_7
77,17:16.9,FALSE,RIGHT,2448,0,0,0,0,FALSE,948,-0.345312212,1611166318_76.csv,schedule_7
78,17:21.1,TRUE,LEFT,3032,0,0,0,0,FALSE,1532,-0.198282996,1611166318_76.csv,schedule_7
79,17:22.3,FALSE,RIGHT,2280,0,0,0,0,FALSE,780,-0.387608288,1611166318_76.csv,schedule_7
80,17:24.4,FALSE,RIGHT,2192,0,0,0,0,FALSE,692,-0.409763376,1611166318_76.csv,schedule_7
81,17:27.0,TRUE,LEFT,2576,0,0,0,0,FALSE,1076,-0.313086631,1611166318_76.csv,schedule_7
82,17:29.7,TRUE,LEFT,2672,1,0,1,0,FALSE,1172,-0.288917445,1611166318_76.csv,schedule_7
83,17:31.9,FALSE,RIGHT,2257,0,0,0,0,FALSE,757,-0.393398822,1611166318_76.csv,schedule_7
84,17:34.2,FALSE,RIGHT,2207,0,1,1,0,FALSE,707,-0.40598694,1611166318_76.csv,schedule_7
85,17:36.6,TRUE,LEFT,2472,1,1,1,1,FALSE,972,-0.339269916,1611166318_76.csv,schedule_7
86,17:39.6,TRUE,LEFT,2992,0,1,0,1,FALSE,1492,-0.208353491,1611166318_76.csv,schedule_7
87,17:44.3,TRUE,LEFT,4752,0,0,0,0,FALSE,3252,0.234748256,1611166318_76.csv,schedule_7
88,17:49.7,TRUE,LEFT,4520,0,0,0,0,FALSE,3020,0.176339389,1611166318_76.csv,schedule_7
89,17:51.8,FALSE,RIGHT,2904,1,0,0,1,FALSE,1404,-0.230508578,1611166318_76.csv,schedule_7
90,17:54.4,FALSE,RIGHT,2626,1,0,0,1,FALSE,1126,-0.300498513,1611166318_76.csv,schedule_7
91,17:57.9,TRUE,LEFT,3526,0,1,0,1,FALSE,2026,-0.073912393,1611166318_76.csv,schedule_7
92,18:02.5,FALSE,RIGHT,3640,1,0,0,1,FALSE,2140,-0.045211484,1611166318_76.csv,schedule_7
93,18:05.1,TRUE,LEFT,3512,0,1,0,1,FALSE,2012,-0.077437066,1611166318_76.csv,schedule_7
94,18:07.5,FALSE,RIGHT,2376,1,0,0,1,FALSE,876,-0.363439102,1611166318_76.csv,schedule_7
95,18:10.1,TRUE,LEFT,2680,0,1,0,1,FALSE,1180,-0.286903346,1611166318_76.csv,schedule_7
96,18:12.6,FALSE,RIGHT,2469,1,0,0,1,FALSE,969,-0.340025203,1611166318_76.csv,schedule_7
97,18:15.3,TRUE,LEFT,2704,0,1,0,1,FALSE,1204,-0.280861049,1611166318_76.csv,schedule_7
98,18:18.7,FALSE,RIGHT,3184,1,0,0,1,FALSE,1684,-0.160015118,1611166318_76.csv,schedule_7
99,18:21.5,TRUE,LEFT,3007,0,1,0,1,FALSE,1507,-0.204577055,1611166318_76.csv,schedule_7
0,15:51.9,FALSE,LEFT,16047,0,1,1,0,FALSE,14547,3.18947754,1611166533_64.csv,schedule_7
1,15:53.8,TRUE,RIGHT,3280,1,0,1,0,FALSE,1780,-0.102090961,1611166533_64.csv,schedule_7
2,15:58.5,FALSE,LEFT,3135,0,0,0,0,FALSE,1635,-0.13947464,1611166533_64.csv,schedule_7
3,16:00.3,FALSE,LEFT,3288,0,0,0,0,FALSE,1788,-0.100028413,1611166533_64.csv,schedule_7
4,16:04.9,TRUE,RIGHT,3384,0,0,0,0,FALSE,1884,-0.075277839,1611166533_64.csv,schedule_7
5,16:06.6,FALSE,LEFT,2864,0,0,0,0,FALSE,1364,-0.209343447,1611166533_64.csv,schedule_7
6,16:09.4,TRUE,RIGHT,2850,0,0,0,0,FALSE,1350,-0.212952906,1611166533_64.csv,schedule_7
7,16:12.1,TRUE,RIGHT,2758,0,0,0,0,FALSE,1258,-0.236672206,1611166533_64.csv,schedule_7
8,16:15.0,FALSE,LEFT,2832,0,0,0,0,FALSE,1332,-0.217593639,1611166533_64.csv,schedule_7
