schedule,subject_id,n_trials,Ep_pub,Ep_fix,Elogp_pub,Elogp_fix
schedule_1,schedule_1/1613977227_24.csv,100,0.654245368510221,0.657521459165622,-0.63782372154284,-0.62297539686123
schedule_1,schedule_1/1613978710_25.csv,100,0.725198576653035,0.708037598762943,-0.439711203433713,-0.469449635601616
schedule_1,schedule_1/1613980879_52.csv,100,0.51397186119615,0.531341724204019,-0.954617133854903,-0.921613161641986
schedule_1,schedule_1/1613983565_59.csv,100,0.722388231311459,0.736630474933197,-0.434348214078579,-0.40617221940105
schedule_1,schedule_1/1613984067_80.csv,100,0.638375974872055,0.652914205469787,-0.657497540396312,-0.627667460609841
schedule_1,schedule_1/1613984703_42.csv,100,0.672027871776894,0.674991291089573,-0.60919890334299,-0.592126993377152
schedule_1,schedule_1/1613984715_89.csv,100,0.676280674184983,0.693407972504819,-0.554072345711774,-0.510082029957278
schedule_1,schedule_1/1613989734_58.csv,100,0.606001243815132,0.609808554894803,-0.62135037584185,-0.603908634129454
schedule_1,schedule_1/1613991345_16.csv,100,0.48679097819302,0.492617484555291,-1.07414018263402,-1.06913117209251
schedule_1,schedule_1/1613991377_88.csv,100,0.523737433554926,0.529535724797494,-0.916366644031474,-0.904048704378245
schedule_1,schedule_1/1613994742_78.csv,100,0.819708044179207,0.81103227324372,-0.246217691988679,-0.260337671079566
schedule_1,schedule_1/1613996030_34.csv,100,0.344887087606789,0.350587097304707,-1.25308297263678,-1.23683775867961
schedule_1,schedule_1/1613997913_24.csv,100,0.663972946419634,0.655275128704259,-0.603574115210397,-0.619317770899981
schedule_1,schedule_1/1613998221_31.csv,100,0.582189796182732,0.587990739033342,-0.792688890319544,-0.756798234397732
schedule_1,schedule_1/1613998698_14.csv,100,0.695444846290963,0.686814941242622,-0.529991173037086,-0.535817983935001
schedule_1,schedule_1/1613999092_45.csv,100,0.535946197794425,0.544578753516191,-0.815188859679614,-0.78033027439067
schedule_1,schedule_1/1614000708_52.csv,100,0.784825859686325,0.796420340491591,-0.366184165106306,-0.351525896345483
schedule_1,schedule_1/1614001003_78.csv,100,0.528166538300386,0.531273521801441,-0.929133289145529,-0.912720043335438
schedule_1,schedule_1/1614001038_55.csv,100,0.691330518724939,0.688592494525977,-0.522028305456259,-0.517469705463569
schedule_1,schedule_1/1614001459_36.csv,100,0.640520323707534,0.649399389067738,-0.651139460890106,-0.615516248982439
schedule_1,schedule_1/1614001833_64.csv,100,0.612810398415507,0.612884936705898,-0.654238608813556,-0.634451293412788
schedule_1,schedule_1/1614002662_22.csv,100,0.615965687862302,0.607610932650473,-0.698931751808872,-0.676154851596744
schedule_1,schedule_1/1614002692_28.csv,100,0.769845966680955,0.77274644049309,-0.387864181136829,-0.381061001425784
