diagram,split,stratum,n_bins,strategy,bin,lo,hi,n,predicted,empirical,gap,emp_lo,emp_hi,n_boot
doubled,training,all,100,uniform,8,0.08,0.09,23110,0.08554564838579859,0.1906966681090437,0.10515101972324511,0.18089942835915604,0.20131967270951265,500
doubled,training,all,100,uniform,9,0.09,0.1,9591,0.09345238966836283,0.24085079762277134,0.1473984079544085,0.2261931997273772,0.25795687143251955,500
doubled,training,all,100,uniform,10,0.1,0.11,4355,0.10470674897735421,0.2785304247990815,0.1738236758217273,0.2620284805498762,0.2956058777980647,500
doubled,training,all,100,uniform,11,0.11,0.12,3904,0.11483746506031217,0.2702356557377049,0.15539819067739274,0.251994751062262,0.28715964987586723,500
doubled,training,all,100,uniform,12,0.12,0.13,3022,0.12476840268732911,0.27829252150893447,0.15352411882160535,0.25825529588667173,0.29694592166288875,500
doubled,training,all,100,uniform,13,0.13,0.14,3069,0.1350314361956873,0.29423264907135877,0.15920121287567146,0.2741525529820076,0.3178300636408906,500
doubled,training,all,100,uniform,14,0.14,0.15,3106,0.14485035930161155,0.3583386992916935,0.21348833999008193,0.3370532154318501,0.3834891685643479,500
doubled,training,all,100,uniform,15,0.15,0.16,2524,0.15517728209830384,0.3886687797147385,0.23349149761643467,0.3696027339209609,0.4131706036006884,500
doubled,training,all,100,uniform,16,0.16,0.17,1891,0.1650155698239032,0.3617133791644632,0.19669780934056003,0.3364998838891767,0.38626334401407864,500
doubled,training,all,100,uniform,17,0.17,0.18,1762,0.17494408697938615,0.38081725312145287,0.20587316614206672,0.35740508104548063,0.4045913005496822,500
doubled,training,all,100,uniform,18,0.18,0.19,4807,0.1825913310844928,0.4782608695652174,0.29566953848072464,0.46031898962980533,0.49587373089170567,500
doubled,training,all,100,uniform,19,0.19,0.2,2057,0.1950201448698453,0.3928050559066602,0.1977849110368149,0.36984344675672975,0.4167080467976525,500
doubled,training,all,100,uniform,20,0.2,0.21,2635,0.20505887038803172,0.43111954459203033,0.2260606742039986,0.40867414562247106,0.45476557241657367,500
doubled,training,all,100,uniform,21,0.21,0.22,1800,0.21487906890841582,0.42444444444444446,0.20956537553602864,0.39850159953612685,0.44992862598948963,500
doubled,training,all,100,uniform,22,0.22,0.23,1459,0.2250955152149454,0.4043865661411926,0.17929105092624723,0.38028618188251945,0.4284214620361343,500
doubled,training,all,100,uniform,23,0.23,0.24,1723,0.23494438021852046,0.4022054556006965,0.16726107538217602,0.3779970783036299,0.42787454657067914,500
doubled,training,all,100,uniform,24,0.24,0.25,1501,0.24493710059594817,0.447035309793471,0.20209820919752283,0.41607826959166505,0.4757511235452412,500
doubled,training,all,100,uniform,25,0.25,0.26,1437,0.25495558369922794,0.4592901878914405,0.20433460419221255,0.43257884431545224,0.4889869001382397,500
doubled,training,all,100,uniform,26,0.26,0.27,1812,0.2650255716777091,0.5027593818984547,0.23773381022074558,0.4787457478987228,0.5258191844563634,500
doubled,training,all,100,uniform,27,0.27,0.28,1888,0.2751116747970223,0.4804025423728814,0.20529086757585907,0.45636523115024763,0.5047485213716304,500
doubled,training,all,100,uniform,28,0.28,0.29,2203,0.2850946296993637,0.48978665456196097,0.20469202486259724,0.46649158439994853,0.5136069874503769,500
doubled,training,all,100,uniform,29,0.29,0.3,2492,0.294832431698113,0.5108346709470305,0.21600223924891748,0.4920267189622912,0.533442326159408,500
doubled,training,all,100,uniform,30,0.3,0.31,2631,0.3050279202125967,0.508551881413911,0.20352396120131433,0.48672458291388787,0.5328339452796074,500
doubled,training,all,100,uniform,31,0.31,0.32,13915,0.3157003745961845,0.6115702479338843,0.29586987333769976,0.5956808967915823,0.6270564126353309,500
doubled,training,all,100,uniform,32,0.32,0.33,10671,0.32439405774259233,0.5476525161653079,0.22325845842271552,0.5257861900694568,0.5715328744683574,500
doubled,training,all,100,uniform,33,0.33,0.34,2305,0.3352960822886451,0.30412147505422993,-0.031174607234415175,0.27165650667216196,0.3332094397240287,500
doubled,training,all,100,uniform,34,0.34,0.35000000000000003,3009,0.3452649217704494,0.1478896643403124,-0.19737525743013698,0.13013802725601512,0.1674069631628497,500
doubled,training,all,100,uniform,35,0.35000000000000003,0.36,3140,0.3548540506351391,0.2375796178343949,-0.11727443280074418,0.21458182427226744,0.26138943047647173,500
doubled,training,all,100,uniform,36,0.36,0.37,2128,0.36480625512773857,0.28900375939849626,-0.0758024957292423,0.2663931852008016,0.3149334157861281,500
doubled,training,all,100,uniform,37,0.37,0.38,1520,0.3747868353559067,0.3493421052631579,-0.02544473009274878,0.3240644064924305,0.37516335144656593,500
doubled,training,all,100,uniform,38,0.38,0.39,1124,0.3851225612031737,0.3914590747330961,0.006336513529922427,0.36347687412390517,0.4247960294071706,500
doubled,training,all,100,uniform,39,0.39,0.4,516,0.39446050675532573,0.40310077519379844,0.008640268438472709,0.35260369475485753,0.44665790280032824,500
doubled,training,all,100,uniform,40,0.4,0.41000000000000003,427,0.40503897688039125,0.43559718969555034,0.03055821281515908,0.38746220458758107,0.4877479638848858,500
doubled,training,all,100,uniform,41,0.41000000000000003,0.42,314,0.41494512403089534,0.4681528662420382,0.05320774221114288,0.4104473113093803,0.5195473644003056,500
doubled,training,all,100,uniform,42,0.42,0.43,456,0.4245929024487017,0.5131578947368421,0.08856499228814046,0.4655558191018343,0.5665990742543204,500
doubled,training,all,100,uniform,43,0.43,0.44,377,0.43498457635393706,0.4535809018567639,0.01859632550282686,0.39230822518819564,0.5064746782897468,500
doubled,training,all,100,uniform,44,0.44,0.45,186,0.4445061420436583,0.3817204301075269,-0.06278571193613142,0.3105038500167392,0.45559007232084153,500
doubled,training,all,100,uniform,45,0.45,0.46,149,0.454767705486748,0.5234899328859061,0.06872222739915806,0.4362678104100029,0.6019880457380457,500
doubled,training,all,100,uniform,46,0.46,0.47000000000000003,173,0.4651260300987855,0.5028901734104047,0.03776414331161915,0.426522795843111,0.588065953654189,500
doubled,training,all,100,uniform,47,0.47000000000000003,0.48,593,0.4767789690270491,0.4671163575042159,-0.009662611522833209,0.41751062824752005,0.5155081967213114,500
doubled,training,all,100,uniform,48,0.48,0.49,940,0.4849380695356724,0.4351063829787234,-0.04983168655694903,0.4003932800886636,0.47655196050300375,500
doubled,training,all,100,uniform,49,0.49,0.5,601,0.4949126580775275,0.4492512479201331,-0.04566141015739439,0.41191412717590725,0.4926676395749139,500
doubled,training,all,100,uniform,50,0.5,0.51,601,0.5050873419224725,0.5507487520798668,0.04566141015739433,0.507332360425086,0.5880858728240927,500
doubled,training,all,100,uniform,51,0.51,0.52,940,0.5150619304643276,0.5648936170212766,0.04983168655694903,0.5234480394969964,0.5996067199113364,500
doubled,training,all,100,uniform,52,0.52,0.53,593,0.5232210309729509,0.5328836424957841,0.009662611522833209,0.4844918032786885,0.58248937175248,500
doubled,training,all,100,uniform,53,0.53,0.54,173,0.5348739699012146,0.49710982658959535,-0.03776414331161926,0.41193404634581104,0.5734772041568891,500
doubled,training,all,100,uniform,54,0.54,0.55,149,0.5452322945132521,0.47651006711409394,-0.06872222739915812,0.39801195426195424,0.563732189589997,500
doubled,training,all,100,uniform,55,0.55,0.56,186,0.5554938579563417,0.6182795698924731,0.06278571193613147,0.5444099276791584,0.6894961499832608,500
doubled,training,all,100,uniform,56,0.56,0.5700000000000001,377,0.5650154236460628,0.5464190981432361,-0.01859632550282675,0.4935253217102532,0.6076917748118044,500
doubled,training,all,100,uniform,57,0.5700000000000001,0.58,456,0.5754070975512982,0.4868421052631579,-0.08856499228814024,0.4334009257456795,0.5344441808981657,500
doubled,training,all,100,uniform,58,0.58,0.59,314,0.5850548759691047,0.5318471337579618,-0.05320774221114288,0.4804526355996944,0.5895526886906197,500
